College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
Wisconsin,Active,Detroit Lions,4th season,"Abbrederis, Jared", ,jaredabbrederis/2543774,WR
Notre Dame,Retired, ,3 Seasons,"Evans, Fred", ,fredevans/2513736,
Dayton,Retired, ,1 Season,"Raiff, Jim", ,jimraiff/2523700,
Louisiana Tech,Retired, ,1 Season,"Fowler, Bobby", ,bobbyfowler/2514295,
LSU,Retired, ,5 Seasons,"Johnson, Quinn", ,quinnjohnson/79593,
Boston College,Active,Tennessee Titans,1st season,"Abdesmad, Mehdi",68,mehdiabdesmad/2556718,DE
Illinois,Retired, ,1 Season,"Petty, Ross", ,rosspetty/2523136,
Wisconsin,Retired, ,3 Seasons,"Farris, Tom", ,tomfarris/2513861,
Nebraska,Active,Detroit Lions,3rd season,"Abdullah, Ameer",21,ameerabdullah/2552374,RB
No College,Retired, ,1 Season,"Thompson, Pinky", ,pinkythompson/2527303,
Duquesne,Retired, ,1 Season,"Gonda, George", ,georgegonda/2515030,
Tennessee Tech,Retired, ,3 Seasons,"Tanner, John", ,johntanner/2527011,
Southern University,Retired, ,1 Season,"Raglin, Floyd", ,floydraglin/2523695,
Boise State,Retired, ,1 Season,"Zabransky, Jared", ,jaredzabransky/2495791,
Arkansas,Retired, ,3 Seasons,"Adams, Joe", ,joeadams/2532782,
Missouri,Retired, ,8 Seasons,"Otto, Gus", ,gusotto/2522592,
Florida A&M,Retired, ,3 Seasons,"Thomas, Gene", ,genethomas/2527241,
Arizona,Retired, ,2 Seasons,"Demory, Bill", ,billdemory/2512778,
James Madison,Active,New York Giants,Rookie,"Abdullah, Khalid", ,khalidabdullah/2559314,RB
Louisiana-Lafayette,Retired, ,9 Seasons,"Verdin, Clarence", ,clarenceverdin/2503464,
Syracuse,Retired, ,1 Season,"DeRiggi, Fred", ,fredderiggi/2512828,
Yale,Retired, ,2 Seasons,"Schuler, Bill", ,billschuler/2525128,
Nevada,Retired, ,1 Season,"Nady, Jeff", ,jeffnady/2541732,
California,Retired, ,9 Seasons,"Rivera, Ron", ,ronrivera/2502679,
Texas Tech,Retired, ,10 Seasons,"Reagor, Montae", ,montaereagor/2502600,
Missouri,Retired, ,1 Season,"Sealby, Randy", ,randysealby/2525255,
American International,Retired, ,4 Seasons,"Sergienko, George", ,georgesergienko/2525335,
No College,Retired, ,1 Season,"Beckwith, Norm", ,normbeckwith/2509286,
Arizona,Retired, ,7 Seasons,"Tafoya, Joe", ,joetafoya/2504656,
Arkansas State,Retired, ,3 Seasons,"Hall, Bryan", ,bryanhall/2530581,
Georgia Tech,Retired, ,1 Season,"Wallace, Kyle", ,kylewallace/2506142,
Florida,Retired, ,2 Seasons,"Darby, Al", ,aldarby/2512457,
Michigan State,Retired, ,2 Seasons,"Dell, Mark", ,markdell/2495275,
Hofstra,Retired, ,1 Season,"D'Amato, Mike", ,miked'amato/2512416,
Arkansas,Retired, ,2 Seasons,"Sampson, Howard", ,howardsampson/2524829,
U. of Pacific,Retired, ,1 Season,"Bass, Norm", ,normbass/2509130,
Virginia,Active,Seattle Seahawks,5th season,"Aboushi, Oday", ,odayaboushi/2539331,OG
Colorado State,Retired, ,4 Seasons,"Larson, Bill", ,billlarson/2519112,
Texas,Active,Chicago Bears,7th season,"Acho, Sam",49,samacho/2495101,OLB
Florida,Retired, ,6 Seasons,"Weary, Fred", ,fredweary/2503572,
Southern Methodist,Active,Kansas City Chiefs,4th season,"Acker, Kenneth",27,kennethacker/2549981,CB
Illinois State,Retired, ,1 Season,"Riley, Chris", ,chrisriley/2530729,
Georgia,Retired, ,7 Seasons,"Reid, Breezy", ,breezyreid/2523928,
Columbia,Retired, ,1 Season,"Gehrke, Bruce", ,brucegehrke/2514740,
Oklahoma,Retired, ,3 Seasons,"Baker, Dave", ,davebaker/2508869,
Buffalo,Retired, ,8 Seasons,"Ellis, Ed", ,edellis/2500536,
Connecticut,Active,New York Giants,2nd season,"Adams, Andrew",33,andrewadams/2556456,FS
Iowa,Retired, ,11 Seasons,"Baker, Jason", ,jasonbaker/2504395,
Nebraska,Retired, ,7 Seasons,"Washington, Fabian", ,fabianwashington/2506362,
Mississippi State,Retired, ,1 Season,"Pharr, Tommy", ,tommypharr/2523147,
Arkansas,Retired, ,1 Season,"Alderson, Winston", ,winstonalderson/2499376,
Colorado State,Retired, ,2 Seasons,"Bell, Mark", ,markbell/2509361,
Maryland,Retired, ,0 Season,"Randolph, Dane", ,danerandolph/2507719,
Fresno State,Active,Green Bay Packers,4th season,"Adams, Davante",17,davanteadams/2543495,WR
Creighton,Retired, ,2 Seasons,"Knolla, Johnny", ,johnnyknolla/2518652,
LSU,Active,New York Jets,Rookie,"Adams, Jamal", ,jamaladams/2557979,SAF
